==============================================================================================================================================================
idle: 1800 S.  stree: 3600 S.  idle2: 1800 S.  logfile: /home/root/robe/stress.log.  processes: 6.
==============================================================================================================================================================
2021-03-07 21:54:03 +0800  %Cpu(s):  2.9 us,  1.5 sy,  0.0 ni, 95.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.00 C.  PL temperature: 23.06 C.
2021-03-07 21:54:09 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.04 C.  PL temperature: 22.16 C.
2021-03-07 21:54:14 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.44 C.  PL temperature: 23.31 C.
2021-03-07 21:54:19 +0800  %Cpu(s):  3.0 us,  0.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.93 C.  PL temperature: 21.96 C.
2021-03-07 21:54:24 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 22.65 C.  PL temperature: 22.16 C.
2021-03-07 21:54:29 +0800  %Cpu(s):  1.5 us,  2.9 sy,  0.0 ni, 95.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.97 C.  PL temperature: 22.41 C.
2021-03-07 21:54:35 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.09 C.  PL temperature: 21.96 C.
2021-03-07 21:54:40 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.76 C.  PL temperature: 21.70 C.
2021-03-07 21:54:45 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.13 C.  PL temperature: 23.11 C.
2021-03-07 21:54:50 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.17 C.  PL temperature: 22.71 C.
2021-03-07 21:54:55 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.10 C.  PL temperature: 22.83 C.
2021-03-07 21:55:01 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.50 C.  PL temperature: 22.85 C.
2021-03-07 21:55:06 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.60 C.  PL temperature: 24.23 C.
2021-03-07 21:55:11 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.55 C.  PL temperature: 23.72 C.
2021-03-07 21:55:16 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.02 C.  PL temperature: 22.38 C.
2021-03-07 21:55:21 +0800  %Cpu(s):  1.5 us,  2.9 sy,  0.0 ni, 95.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.37 C.  PL temperature: 22.63 C.
2021-03-07 21:55:27 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.68 C.  PL temperature: 23.34 C.
2021-03-07 21:55:32 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.64 C.  PL temperature: 23.87 C.
2021-03-07 21:55:37 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.38 C.  PL temperature: 23.24 C.
2021-03-07 21:55:42 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.73 C.  PL temperature: 23.55 C.
2021-03-07 21:55:47 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.81 C.  PL temperature: 23.30 C.
2021-03-07 21:55:53 +0800  %Cpu(s):  1.5 us,  3.0 sy,  0.0 ni, 95.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.45 C.  PL temperature: 22.77 C.
2021-03-07 21:55:58 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.74 C.  PL temperature: 23.25 C.
2021-03-07 21:56:03 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.82 C.  PL temperature: 23.52 C.
2021-03-07 21:56:08 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.40 C.  PL temperature: 23.84 C.
2021-03-07 21:56:13 +0800  %Cpu(s):  1.5 us,  2.9 sy,  0.0 ni, 94.1 id,  1.5 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.57 C.  PL temperature: 22.88 C.
2021-03-07 21:56:19 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.91 C.  PL temperature: 24.32 C.
2021-03-07 21:56:24 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.05 C.  PL temperature: 24.37 C.
2021-03-07 21:56:29 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.59 C.  PL temperature: 24.09 C.
2021-03-07 21:56:34 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.25 C.  PL temperature: 24.00 C.
2021-03-07 21:56:39 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.45 C.  PL temperature: 23.47 C.
2021-03-07 21:56:45 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.04 C.  PL temperature: 23.92 C.
2021-03-07 21:56:50 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.79 C.  PL temperature: 24.17 C.
2021-03-07 21:56:55 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.26 C.  PL temperature: 23.98 C.
2021-03-07 21:57:00 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.68 C.  PL temperature: 24.59 C.
2021-03-07 21:57:05 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.96 C.  PL temperature: 24.15 C.
2021-03-07 21:57:11 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.09 C.  PL temperature: 24.59 C.
2021-03-07 21:57:16 +0800  %Cpu(s):  1.5 us,  3.0 sy,  0.0 ni, 95.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.19 C.  PL temperature: 24.04 C.
2021-03-07 21:57:21 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.70 C.  PL temperature: 24.88 C.
2021-03-07 21:57:26 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.61 C.  PL temperature: 23.87 C.
2021-03-07 21:57:31 +0800  %Cpu(s):  3.0 us,  1.5 sy,  0.0 ni, 95.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.86 C.  PL temperature: 24.01 C.
2021-03-07 21:57:37 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.41 C.  PL temperature: 23.33 C.
2021-03-07 21:57:42 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.06 C.  PL temperature: 25.37 C.
2021-03-07 21:57:47 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.94 C.  PL temperature: 23.97 C.
2021-03-07 21:57:52 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.31 C.  PL temperature: 24.71 C.
2021-03-07 21:57:57 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.72 C.  PL temperature: 24.56 C.
2021-03-07 21:58:03 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.49 C.  PL temperature: 24.95 C.
2021-03-07 21:58:08 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.02 C.  PL temperature: 24.73 C.
2021-03-07 21:58:13 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.06 C.  PL temperature: 24.31 C.
2021-03-07 21:58:18 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.60 C.  PL temperature: 25.58 C.
2021-03-07 21:58:23 +0800  %Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.19 C.  PL temperature: 24.74 C.
2021-03-07 21:58:29 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.33 C.  PL temperature: 25.35 C.
2021-03-07 21:58:34 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.72 C.  PL temperature: 25.18 C.
2021-03-07 21:58:39 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.53 C.  PL temperature: 24.45 C.
2021-03-07 21:58:44 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.47 C.  PL temperature: 25.57 C.
2021-03-07 21:58:49 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.33 C.  PL temperature: 25.35 C.
